epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,199.092,0.12153,0.97396,1,0.07531,0.00054928,0.00054928,0.00054928
2,392.324,0.1314,0.95833,1,0.11662,0.000995557,0.000995557,0.000995557
3,585.575,0.18076,0.96875,1,0.12942,0.00133181,0.00133181,0.00133181
4,780.245,0.26364,0.91146,1,0.19845,0.0011719,0.0011719,0.0011719
5,977.506,0.1447,0.95312,1,0.17738,0.00100687,0.00100687,0.00100687
6,1164.02,0.17496,0.97396,1,0.11561,0.000841835,0.000841835,0.000841835
7,1354.39,0.13288,0.95833,1,0.14782,0.000676802,0.000676802,0.000676802
8,1541.8,0.10045,0.97396,1,0.10496,0.000511769,0.000511769,0.000511769
9,1826.23,0.13651,0.96875,1,0.10397,0.000346736,0.000346736,0.000346736
10,2008.96,0.07946,0.98438,1,0.04161,0.000181703,0.000181703,0.000181703
