epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.729,2.26439,4.2036,1.64375,0.0017,0.16101,0.0895,0.04499,1.79853,4.45236,1.44528,0.00020006,0.00020006,0.00020006
2,212.319,1.51175,3.0933,1.19389,0.00432,0.51306,0.19205,0.09403,1.61315,3.91365,1.15781,0.000397999,0.000397999,0.000397999
3,324.744,1.48428,2.51637,1.13478,0.79285,0.01515,0.23033,0.12531,1.68649,3.83953,1.20753,0.000578962,0.000578962,0.000578962
4,412.908,1.41246,2.06327,1.1099,0.78431,0.06203,0.28057,0.14203,1.5803,3.58518,1.14851,0.000742949,0.000742949,0.000742949
5,502.865,1.32548,1.81407,1.08531,0.81416,0.1072,0.3014,0.18149,1.49654,3.25393,1.13727,0.000889958,0.000889958,0.000889958
6,598.321,1.35292,1.72498,1.11911,0.76112,0.32045,0.43908,0.24566,1.53648,3.03736,1.15421,0.00101999,0.00101999,0.00101999
7,689.916,1.32126,1.64092,1.095,0.73603,0.36328,0.51135,0.29707,1.47151,2.83449,1.17548,0.00108947,0.00108947,0.00108947
8,794.333,1.28011,1.60555,1.08039,0.80976,0.51374,0.67789,0.41491,1.4084,2.16701,1.14931,0.00103288,0.00103288,0.00103288
9,885.656,1.25024,1.39541,1.06631,0.68528,0.63863,0.68088,0.41824,1.42734,1.97293,1.14828,0.000976293,0.000976293,0.000976293
10,979.605,1.20883,1.37012,1.06013,0.71328,0.60153,0.67223,0.4153,1.35486,1.91284,1.09159,0.000919704,0.000919704,0.000919704
11,1072.9,1.17655,1.28989,1.03531,0.71918,0.74668,0.71631,0.44959,1.3319,1.68988,1.07024,0.000863116,0.000863116,0.000863116
12,1170.64,1.18487,1.26711,1.05145,0.69688,0.82084,0.77796,0.51953,1.24569,1.49496,1.05243,0.000806528,0.000806528,0.000806528
13,1285.62,1.16055,1.22036,1.04312,0.7965,0.81272,0.79947,0.50619,1.247,1.41599,1.05012,0.000749939,0.000749939,0.000749939
14,1391.76,1.17422,1.23381,1.04823,0.74274,0.74539,0.76434,0.50071,1.20218,1.42522,1.03973,0.000693351,0.000693351,0.000693351
15,1494.24,1.12354,1.16553,1.01776,0.78927,0.77664,0.80544,0.54055,1.20274,1.33993,1.02137,0.000636762,0.000636762,0.000636762
16,1622.03,1.08222,1.37286,1.01426,0.77995,0.79829,0.79383,0.50285,1.24808,1.40348,1.0409,0.000580174,0.000580174,0.000580174
17,1737.34,1.06425,1.30059,1.01365,0.76097,0.85329,0.8219,0.55748,1.14533,1.33457,1.01634,0.000523586,0.000523586,0.000523586
18,1837.26,1.03045,1.22124,1.01853,0.84335,0.76201,0.81283,0.55671,1.14583,1.33768,1.02233,0.000466997,0.000466997,0.000466997
19,1936.26,1.05151,1.2139,1.02544,0.81701,0.80678,0.811,0.56032,1.13935,1.25945,1.02013,0.000410409,0.000410409,0.000410409
20,2033.53,1.02018,1.15655,0.99539,0.80988,0.84513,0.83948,0.568,1.20184,1.21107,1.00522,0.00035382,0.00035382,0.00035382
21,2128.5,0.99834,1.11915,0.99338,0.83673,0.80038,0.8364,0.56972,1.19007,1.20645,1.0013,0.000297232,0.000297232,0.000297232
22,2226.18,0.99497,1.10932,0.99676,0.83172,0.83418,0.83249,0.58425,1.11957,1.16508,0.99171,0.000240644,0.000240644,0.000240644
23,2321.74,0.96385,1.05959,0.95406,0.86166,0.81473,0.84138,0.5995,1.10945,1.13333,0.97694,0.000184055,0.000184055,0.000184055
24,2418.02,0.9432,1.04832,0.95078,0.86968,0.84526,0.84145,0.59435,1.1029,1.13033,0.98172,0.000127467,0.000127467,0.000127467
25,2516.75,0.94763,1.0311,0.97137,0.86757,0.84416,0.83973,0.59411,1.09041,1.10738,0.98865,7.08784e-05,7.08784e-05,7.08784e-05
